material_id,formula,band_gap,is_gap_direct,is_pv_candidate,is_pv_candidate_amp,is_ibsc_candidate,is_ibsc_candidate_amp,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-1113861,Rb2TlRhF6,1.9393,False,False,True,True,True,0.0,-2.402731809833334,Cubic,Fm-3m,225,perovskita dupla,GGA,4.952093330587864,0.62759852,True,False,"['Rh3+', 'F-', 'Rb+', 'Tl+']",Perovskita Dupla
mp-1113873,Rb2TlAsF6,2.7163,True,False,False,False,True,0.0,-2.559564940583333,Cubic,Fm-3m,225,perovskita dupla,GGA,4.455652046833956,1.26002975,True,False,"['F-', 'Rb+', 'As3+', 'Tl+']",Perovskita Dupla
mp-1114309,Cs2AgBiF6,2.7645,False,False,False,False,True,0.0,-2.471992757000001,Cubic,Fm-3m,225,perovskita dupla,GGA,5.664325546689569,0.74002604,True,False,"['F-', 'Ag+', 'Cs+', 'Bi3+']",Perovskita Dupla
mp-14036,KRb2RhF6,2.1662,True,False,False,True,True,0.0,-2.625337121225,Cubic,Fm-3m,225,perovskita dupla,GGA,3.781187886268344,-0.02191313,False,True,"['Rh3+', 'K+', 'Rb+', 'F-']",Perovskita Dupla
mp-14037,NaTl2RhF6,1.7848000000000002,False,True,True,False,True,0.0,-2.211141618804599,Cubic,Fm-3m,225,perovskita dupla,GGA,6.60542456792536,1.80230875,False,True,"['Rh3+', 'Na+', 'F-', 'Tl+']",Perovskita Dupla
mp-14038,Rb2NaRhF6,1.957,True,False,True,True,True,0.0,-2.63831338763793,Cubic,Fm-3m,225,perovskita dupla,GGA,4.194013891584873,0.30250179,False,True,"['Rh3+', 'Na+', 'Rb+', 'F-']",Perovskita Dupla
mp-14039,K2NaRhF6,2.000099999999999,True,False,False,True,True,0.0,-2.63281606158793,Cubic,Fm-3m,225,perovskita dupla,GGA,3.416447498872315,0.0582441,False,True,"['Rh3+', 'K+', 'Na+', 'F-']",Perovskita Dupla
mp-504603,Cs2TlFeF6,2.9057,False,False,False,False,True,0.0,-2.7245106522643683,Cubic,Fm-3m,225,perovskita dupla,HSE06,5.142659030379203,0.27985477000000003,False,True,"['Fe3+', 'Cs+', 'F-', 'Tl+']",Perovskita Dupla
mp-540729,Cs2KCoF6,3.0136,False,False,False,False,True,0.0,-2.718215617656034,Cubic,Fm-3m,225,perovskita dupla,GGA,4.299793794873278,-0.9788501900000001,False,True,"['K+', 'Co3+', 'Cs+', 'F-']",Perovskita Dupla
mp-541097,Zr3Pb(O2F3)2,2.844999999999999,False,False,False,False,True,0.0,-3.663523270357143,Cubic,Fm-3m,225,perovskita dupla,GGA,6.419238656334745,3.434793399999999,False,True,"['F-', 'O2-', 'Zr4+', 'Pb2+']",Perovskita Dupla
mp-555970,NaTl2MoF6,2.9199,True,False,False,False,True,0.0,-2.556509695804598,Cubic,Fm-3m,225,perovskita dupla,GGA+U,6.202362421275074,1.45954757,False,True,"['Na+', 'Mo3+', 'F-', 'Tl+']",Perovskita Dupla
mp-557664,Cs2TlBiF6,3.093899999999999,True,False,False,False,True,0.0,-2.596629716500001,Cubic,Fm-3m,225,perovskita dupla,GGA,5.64830839422079,1.10776609,False,True,"['F-', 'Cs+', 'Bi3+', 'Tl+']",Perovskita Dupla
mp-560959,KTl2MoF6,2.4401,True,False,False,True,True,0.0,-2.535024284391668,Cubic,Fm-3m,225,perovskita dupla,GGA+U,5.490521426644849,1.05091873,False,True,"['K+', 'Mo3+', 'F-', 'Tl+']",Perovskita Dupla
mp-561561,Cs2KRhF6,2.101299999999999,True,False,False,True,True,0.0,-2.639720883656034,Cubic,Fm-3m,225,perovskita dupla,GGA,4.389741030554179,0.51287658,False,True,"['Rh3+', 'K+', 'Cs+', 'F-']",Perovskita Dupla
mp-989555,Tl2InGaF6,2.3602,True,False,False,True,True,0.0,-2.381190492083334,Cubic,Fm-3m,225,perovskita dupla,GGA,6.293875756726659,2.0797901,True,False,"['F-', 'Ga3+', 'In+', 'Tl+']",Perovskita Dupla
mp-1219598,RbCrCoF6,2.1763,False,False,False,True,True,0.0,-2.85196198861111,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.603732141365901,1.69552279,True,False,"['F-', 'Rb+', 'Cr3+', 'Co2+']",Perovskita Dupla
mp-1225824,CsVZnF6,2.296599999999999,False,False,False,True,True,0.0,-3.032418923850575,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.992496770166296,-0.11365676,True,False,"['V3+', 'F-', 'Zn2+', 'Cs+']",Perovskita Dupla
mp-1225833,CsZnFeF6,2.2145,True,False,False,True,True,0.0,-2.776032882739463,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.332615176676145,-1.71003971,True,False,"['Fe3+', 'Zn2+', 'Cs+', 'F-']",Perovskita Dupla
mp-1225874,CsZnCoF6,1.6216,True,True,True,False,True,0.0,-2.51893058329502,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.212920528342598,-1.81734835,True,False,"['Co3+', 'F-', 'Zn2+', 'Cs+']",Perovskita Dupla
mp-1225934,CsMnVF6,1.8989,True,False,True,True,True,0.0,-3.147013363065135,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.949690817818301,0.37195259,True,False,"['Mn2+', 'F-', 'Cs+', 'V3+']",Perovskita Dupla
mp-1225937,CsFeNiF6,2.6205,True,False,False,False,True,0.0,-2.677132267739463,Orthorhombic,Imma,74,perovskita dupla,HSE06,4.341010655565451,-0.682387699999999,True,False,"['Fe3+', 'Cs+', 'F-', 'Ni2+']",Perovskita Dupla
mp-1225938,CsMgCoF6,1.9747000000000001,False,False,True,True,True,0.0,-2.918185277183909,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.845830728697557,0.23454529000000002,True,False,"['Mg2+', 'Co3+', 'Cs+', 'F-']",Perovskita Dupla
mp-1225975,CsCrCoF6,2.2148,False,False,False,True,True,0.0,-2.870498638295019,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.02183527801048,-0.11087647,True,False,"['F-', 'Cr3+', 'Cs+', 'Co2+']",Perovskita Dupla
mp-1226043,CsFeCoF6,1.828,False,False,True,True,True,0.0,-2.679922508850574,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.081345335684319,-0.10787717000000001,True,False,"['Fe3+', 'Cs+', 'F-', 'Co2+']",Perovskita Dupla
mp-1228863,CsMnCrF6,1.595799999999999,False,True,True,False,True,0.0,-3.080869609731801,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.775565104075753,0.310188099999999,True,False,"['Mn2+', 'F-', 'Cr3+', 'Cs+']",Perovskita Dupla
mp-1228886,CsVFeF6,1.814,True,False,True,True,True,0.0,-3.014621490517241,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.865639989012002,0.40015783,True,False,"['V3+', 'F-', 'Fe2+', 'Cs+']",Perovskita Dupla
mp-1228899,CsVNiF6,2.3655,False,False,False,True,True,0.0,-2.936362066072798,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.060309672391199,0.389465499999999,True,False,"['V3+', 'F-', 'Cs+', 'Ni2+']",Perovskita Dupla
mp-1228915,CsCoNiF6,1.4981,False,True,True,False,True,0.0,-2.4228049332950192,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.27544614824969,-0.99621847,True,False,"['F-', 'Co3+', 'Cs+', 'Ni2+']",Perovskita Dupla
mp-558227,K2RbMn2F7,2.6186,False,False,False,False,True,0.0,-3.000733195238506,Tetragonal,I4/mmm,139,perovskita dupla,GGA,3.345291072745835,0.5469959600000001,False,True,"['K+', 'Rb+', 'Mn2+', 'F-']",Perovskita Dupla
mp-1191842,Na2VNiF7,2.4654,True,False,False,True,True,0.0,-2.91741615661442,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.314308239773642,0.25934132,False,True,"['Na+', 'V3+', 'F-', 'Ni2+']",Perovskita Dupla
mp-1210449,Na2MgVF7,2.5192,False,False,False,True,True,0.0,-3.328581348887148,Orthorhombic,Imma,74,perovskita dupla,GGA+U,2.919889571882717,0.11371755,True,True,"['Mg2+', 'Na+', 'V3+', 'F-']",Perovskita Dupla
mp-1210483,Na2CoNiF7,1.4955,False,True,True,False,True,0.0,-2.521602485705329,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.491760763802576,-1.343040789999999,True,True,"['Na+', 'Co3+', 'F-', 'Ni2+']",Perovskita Dupla
mp-1212006,InNiAg2F7,1.4768000000000001,False,True,True,False,True,0.0,-2.109511752727272,Orthorhombic,Imma,74,perovskita dupla,GGA+U,5.292395254968391,0.48297318,True,True,"['F-', 'Ag+', 'In3+', 'Ni2+']",Perovskita Dupla
mp-1213740,CrNiAg2F7,1.657399999999999,False,True,True,False,True,0.0,-2.192959935757575,Orthorhombic,Imma,74,perovskita dupla,GGA+U,5.029945735734276,0.36047255,True,True,"['F-', 'Cr3+', 'Ag+', 'Ni2+']",Perovskita Dupla
mp-1214829,AlNiAg2F7,1.9697,False,False,True,True,True,0.0,-2.4922114857575752,Orthorhombic,Imma,74,perovskita dupla,GGA+U,5.056321498261953,0.73459213,True,True,"['F-', 'Ag+', 'Al3+', 'Ni2+']",Perovskita Dupla
mp-546082,TmBi2ClO4,1.4201000000000001,False,True,True,False,True,0.0,-2.481416511250001,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.44149754336076,3.6916917,False,True,"['Tm3+', 'O2-', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-550805,LuBi2ClO4,1.461799999999999,False,True,True,False,True,0.0,-2.481985219583334,Tetragonal,P4/mmm,123,perovskita dupla,GGA,8.57199460348832,3.7831892700000003,False,True,"['O2-', 'Lu3+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1198976,Ba3GaS4Cl,3.1691,True,False,False,False,True,0.0,-2.13071918916666,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.210961688671628,5.08469184,False,True,"['Cl-', 'Ga3+', 'S2-', 'Ba2+']",Perovskita Dupla
mp-23131,Sr2BN2Cl,2.7508,False,False,False,False,True,0.0,-1.70797250986111,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.387954480054611,1.7398816300000002,False,True,"['N3-', 'Sr2+', 'Cl-', 'B3+']",Perovskita Dupla
mp-24015,Cd2H3ClO3,2.0958,True,False,False,True,True,0.0,-1.372690263194443,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.912323149584525,-0.82131133,False,True,"['Cd2+', 'O2-', 'H+', 'Cl-']",Perovskita Dupla
mp-556551,GdSeClO3,2.993,False,False,False,False,True,0.0,-2.458681240390625,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.50385704114268,0.00894552,False,True,"['O2-', 'Se4+', 'Cl-', 'Gd3+']",Perovskita Dupla
mp-558871,SrVClO3,2.189,True,False,False,True,True,0.0,-2.737379994583333,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,3.807880277654851,1.09243122,False,True,"['V5+', 'Sr2+', 'Cl-', 'O2-']",Perovskita Dupla
mp-559379,SbTeClO3,3.155599999999999,False,False,False,False,True,0.0,-1.554748624861111,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.720875309350302,2.79398389,False,True,"['O2-', 'Te4+', 'Cl-', 'Sb3+']",Perovskita Dupla
mp-559481,BaVClO3,2.3925,False,False,False,True,True,0.0,-2.770726779166666,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,4.19804351608967,0.61100446,False,True,"['V5+', 'Cl-', 'O2-', 'Ba2+']",Perovskita Dupla
mp-2647097,Cs2Pb(ICl)2,2.9646,True,False,False,False,True,0.0,-1.709331011330049,Tetragonal,I4/mmm,139,perovskita dupla,GGA,4.086946156777206,0.38097429,True,False,"['Cl-', 'I-', 'Cs+', 'Pb2+']",Perovskita Dupla
mp-1202505,Cs2Re(ClO)3,2.3472,False,False,False,True,True,0.0,-2.069291566312261,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.025002053422486,-0.68162615,False,True,"['Re7+', 'O2-', 'Cs+', 'Cl-']",Perovskita Dupla
mp-559914,K2MoCl5O,2.767,False,False,False,False,True,0.0,-1.844305683555556,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,2.464787494750122,0.18633646,False,True,"['K+', 'O2-', 'Mo5+', 'Cl-']",Perovskita Dupla
mp-1078258,Cs2AgBiCl6,1.8663,False,False,True,True,True,0.0,-1.510083130500001,Cubic,Fm-3m,225,perovskita dupla,GGA,4.185373900842128,0.91825946,False,True,"['Ag+', 'Cs+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1110680,Rb2LiSbCl6,2.9411,False,False,False,False,True,0.0,-1.8781652158333322,Cubic,Fm-3m,225,perovskita dupla,GGA,3.060149604727796,0.50708333,True,False,"['Cl-', 'Rb+', 'Li+', 'Sb3+']",Perovskita Dupla
mp-1110803,Rb2AgSbCl6,1.6275,False,True,True,False,True,0.0,-1.615785375666666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.270080969133103,1.07258795,True,False,"['Rb+', 'Ag+', 'Cl-', 'Sb3+']",Perovskita Dupla
mp-1110810,Rb2AgBiCl6,2.06,False,False,False,True,True,0.0,-1.665001007666667,Cubic,Fm-3m,225,perovskita dupla,GGA,3.762125681987928,0.51340429,True,False,"['Rb+', 'Ag+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1110920,K2AgBiCl6,2.0583,False,False,False,True,True,0.0,-1.6220751856166662,Cubic,Fm-3m,225,perovskita dupla,GGA,3.176633353516061,0.49212144,True,False,"['K+', 'Ag+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1112490,Cs2TlInCl6,2.7015000000000002,False,False,False,False,True,0.0,-1.849192811931035,Cubic,Fm-3m,225,perovskita dupla,GGA,3.715147519224946,0.1556318,True,False,"['Cl-', 'Cs+', 'In3+', 'Tl+']",Perovskita Dupla
mp-1112527,Cs2NaTlCl6,1.9178000000000002,True,False,True,True,True,0.0,-1.8345188524023,Cubic,Fm-3m,225,perovskita dupla,GGA,3.640205022554829,-0.61141004,True,False,"['Na+', 'Tl3+', 'Cs+', 'Cl-']",Perovskita Dupla
mp-1112624,Cs2LiGdCl6,2.782,True,False,False,False,True,0.0,-2.482845278264368,Cubic,Fm-3m,225,perovskita dupla,GGA,3.512954311167277,-0.64583333,True,False,"['Cl-', 'Cs+', 'Li+', 'Gd3+']",Perovskita Dupla
mp-1112657,Cs2NaGdCl6,3.0186,True,False,False,False,True,0.0,-2.491442455068965,Cubic,Fm-3m,225,perovskita dupla,GGA,3.314749008104162,-0.99958404,True,False,"['Na+', 'Cs+', 'Cl-', 'Gd3+']",Perovskita Dupla
mp-1112940,Cs2AgSbCl6,1.662399999999999,False,True,True,False,True,0.0,-1.651126571097701,Cubic,Fm-3m,225,perovskita dupla,GGA,3.680926402161937,1.2859706800000001,True,False,"['Ag+', 'Cs+', 'Cl-', 'Sb3+']",Perovskita Dupla
mp-1113967,Rb2NaAsCl6,3.1484,False,False,False,False,True,0.0,-1.792129315387931,Cubic,Fm-3m,225,perovskita dupla,GGA,2.715888986148074,-0.2544804,True,False,"['Na+', 'Rb+', 'Cl-', 'As3+']",Perovskita Dupla
mp-1114002,Rb2TlSbCl6,1.955099999999999,True,False,True,True,True,0.0,-1.699869768833334,Cubic,Fm-3m,225,perovskita dupla,GGA,3.190531909922415,0.95149317,True,False,"['Rb+', 'Cl-', 'Sb3+', 'Tl+']",Perovskita Dupla
mp-1114049,Rb2ScInCl6,2.6355,True,False,False,False,True,0.0,-2.168427678666666,Cubic,Fm-3m,225,perovskita dupla,GGA,2.759260936444126,0.43478208,True,False,"['Cl-', 'Rb+', 'In+', 'Sc3+']",Perovskita Dupla
mp-1114071,Rb2InBiCl6,1.691599999999999,True,True,True,False,True,0.0,-1.718065487166666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.163421976772406,1.17805865,True,False,"['Cl-', 'Rb+', 'In+', 'Bi3+']",Perovskita Dupla
mp-1205683,Cs2KCrCl6,1.553499999999999,True,True,True,False,True,0.0,-1.948814964874999,Cubic,Fm-3m,225,perovskita dupla,GGA,3.114668186432675,0.227834999999999,True,True,"['K+', 'Cr3+', 'Cs+', 'Cl-']",Perovskita Dupla
mp-23763,SnH8(NCl3)2,2.3281,True,False,False,True,True,0.0,-0.984600160882353,Cubic,Fm-3m,225,perovskita dupla,GGA,2.449067317795603,-0.08985767,False,True,"['N3-', 'H+', 'Sn4+', 'Cl-']",Perovskita Dupla
mp-24227,H8Pt(NCl3)2,1.7803,True,True,True,False,True,0.0,-0.849392803529412,Cubic,Fm-3m,225,perovskita dupla,GGA,2.937610214262392,-0.036942340000000004,False,True,"['N3-', 'H+', 'Cl-', 'Pt4+']",Perovskita Dupla
mp-989512,LiTl2InCl6,2.8771,False,False,False,False,True,0.0,-1.5736920236666672,Cubic,Fm-3m,225,perovskita dupla,GGA,4.59612192440054,0.87136364,True,False,"['In3+', 'Cl-', 'Li+', 'Tl+']",Perovskita Dupla
mp-989545,Rb2NaSbCl6,3.052499999999999,False,False,False,False,True,0.0,-1.87563242763793,Cubic,Fm-3m,225,perovskita dupla,GGA,2.749300901573716,0.26728721,True,False,"['Na+', 'Rb+', 'Cl-', 'Sb3+']",Perovskita Dupla
mp-989547,Rb2NaInCl6,3.0533,True,False,False,False,True,0.0,-1.9831410013045971,Cubic,Fm-3m,225,perovskita dupla,GGA,2.902616342796346,-0.52806895,True,False,"['Cl-', 'Na+', 'Rb+', 'In3+']",Perovskita Dupla
mp-989550,Rb2TlInCl6,2.3962,False,False,False,True,True,0.0,-1.8027955545,Cubic,Fm-3m,225,perovskita dupla,GGA,3.343130416934309,0.13009956,True,False,"['Cl-', 'Rb+', 'In3+', 'Tl+']",Perovskita Dupla
mp-989571,Cs2NaInCl6,2.9903999999999993,True,False,False,False,True,0.0,-2.013801218735632,Cubic,Fm-3m,225,perovskita dupla,GGA,3.290742620853292,-0.31367721,True,False,"['Cl-', 'Na+', 'Cs+', 'In3+']",Perovskita Dupla
mp-989583,Rb2LiInCl6,2.8282,True,False,False,False,True,0.0,-1.980378803499999,Cubic,Fm-3m,225,perovskita dupla,GGA,3.056796830305095,-0.23958333,True,False,"['In3+', 'Rb+', 'Li+', 'Cl-']",Perovskita Dupla
mp-560884,TaSCl7O,2.8827,False,False,False,False,True,0.0,-1.547922680233333,Orthorhombic,Pnma,62,perovskita dupla,GGA,2.5147490099348992,-0.52628881,False,True,"['Ta5+', 'O2-', 'Cl-', 'S4+']",Perovskita Dupla
