material_id,formula,band_gap,is_gap_direct,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-1112141,Cs2NaScI6,2.2294,False,0.0,-1.608572185568968,Cubic,Fm-3m,225,perovskita dupla,GGA,4.182400345120723,0.97416667,True,False,"['Na+', 'I-', 'Cs+', 'Sc3+']",Perovskita Dupla
mp-1112484,Cs2ScTlI6,2.4146,False,0.0,-1.481135688764369,Cubic,Fm-3m,225,perovskita dupla,GGA,4.268004205203559,0.7075,True,False,"['I-', 'Cs+', 'Sc3+', 'Tl+']",Perovskita Dupla
mp-1112656,Cs2NaCeI6,2.3813,False,0.0,-1.6711747860689652,Cubic,Fm-3m,225,perovskita dupla,GGA,3.972466408061819,2.67946585,True,False,"['Na+', 'I-', 'Cs+', 'Ce3+']",Perovskita Dupla
mp-1112710,Cs2KScI6,2.3591,False,0.0,-1.639713362156034,Cubic,Fm-3m,225,perovskita dupla,GGA,3.700902317308783,0.4075,True,False,"['K+', 'I-', 'Cs+', 'Sc3+']",Perovskita Dupla
mp-1112938,Cs2ScAgI6,2.0571,False,0.0,-1.386986988597701,Cubic,Fm-3m,225,perovskita dupla,GGA,4.592240908229201,1.34041667,True,False,"['I-', 'Ag+', 'Cs+', 'Sc3+']",Perovskita Dupla
mp-1113068,Cs2ScInI6,1.9467999999999992,True,0.0,-1.443627259097701,Cubic,Fm-3m,225,perovskita dupla,GGA,4.034538838981295,1.273385419999999,True,False,"['I-', 'Cs+', 'In+', 'Sc3+']",Perovskita Dupla
mp-1114119,Rb2NaScI6,2.2079,False,0.0,-1.561588831137932,Cubic,Fm-3m,225,perovskita dupla,GGA,3.896424625451023,0.7675000000000001,True,False,"['Na+', 'I-', 'Rb+', 'Sc3+']",Perovskita Dupla
mp-1112229,K2LuCuCl6,2.4709,False,0.001292203500002,-1.951118381316666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.266111578636457,1.83427629,True,False,"['K+', 'Lu3+', 'Cl-', 'Cu+']",Perovskita Dupla
mp-1219588,RbMgCoF6,1.9239,True,0.001581457685183,-2.903187705833333,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.36514103287031,-0.28510631,True,False,"['Mg2+', 'Rb+', 'Co3+', 'F-']",Perovskita Dupla
mp-1111965,Cs2RbIrF6,2.5113,True,0.001807461499999,-2.533594465681035,Cubic,Fm-3m,225,perovskita dupla,GGA,5.175924625848073,1.27903601,True,False,"['Ir3+', 'Rb+', 'Cs+', 'F-']",Perovskita Dupla
mp-1111884,K2NaIrF6,2.3848000000000003,True,0.002085846000002,-2.54349559758793,Cubic,Fm-3m,225,perovskita dupla,GGA,4.321721226929771,0.95183229,True,False,"['K+', 'Na+', 'Ir3+', 'F-']",Perovskita Dupla
mp-1110842,K2AgMoF6,2.5573,True,0.003419428625002,-2.563260360616666,Cubic,Fm-3m,225,perovskita dupla,GGA+U,3.661040876897081,-0.07888827,True,False,"['K+', 'Ag+', 'Mo3+', 'F-']",Perovskita Dupla
mp-1111368,K2TlRhF6,1.9609,False,0.004751067416657,-2.371195808783334,Cubic,Fm-3m,225,perovskita dupla,GGA,4.282239007520329,0.57845214,True,False,"['Rh3+', 'K+', 'F-', 'Tl+']",Perovskita Dupla
mp-1113269,Cs2NdAgI6,2.5429,False,0.005714765250002,-1.4629922338477,Cubic,Fm-3m,225,perovskita dupla,GGA,4.51968089391843,0.946874999999999,True,False,"['Nd3+', 'I-', 'Ag+', 'Cs+']",Perovskita Dupla
mp-1113029,Cs2KTlCl6,2.3439,True,0.0064588685,-1.856659007989368,Cubic,Fm-3m,225,perovskita dupla,GGA,3.331727397399375,-1.10572215,True,False,"['K+', 'Tl3+', 'Cs+', 'Cl-']",Perovskita Dupla
mp-1113560,Rb2ScCuCl6,1.8951,False,0.006490811699999,-2.079400378,Cubic,Fm-3m,225,perovskita dupla,GGA,3.114148050160115,1.84803941,True,False,"['Cu+', 'Rb+', 'Cl-', 'Sc3+']",Perovskita Dupla
mp-1214805,AsPb2S3I,1.8295,False,0.006573080178571,-0.6785971396428551,Orthorhombic,Pnma,62,perovskita dupla,GGA,5.9664054146314704,5.64636648,True,True,"['I-', 'S2-', 'Pb2+', 'As3+']",Perovskita Dupla
mp-1112942,Cs2PrAgI6,2.5343,False,0.006615451750001,-1.461820751264368,Cubic,Fm-3m,225,perovskita dupla,GGA,4.4642231655239,0.92041667,True,False,"['I-', 'Ag+', 'Cs+', 'Pr3+']",Perovskita Dupla
mp-696275,SnH8(NCl3)2,2.5482,True,0.006630741764706,-0.9779694191176472,Cubic,Fm-3m,225,perovskita dupla,GGA,2.343498568403572,-0.44388123,False,True,"['N3-', 'H+', 'Sn4+', 'Cl-']",Perovskita Dupla
mp-1114188,Rb2ScInI6,2.0229,True,0.007130817,-1.391071834666666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.763756783093657,0.92800894,True,False,"['I-', 'Rb+', 'In+', 'Sc3+']",Perovskita Dupla
mp-1112157,K2NiHgF6,1.9584,True,0.007612064999999,-2.418037982700001,Cubic,Fm-3m,225,perovskita dupla,GGA,4.632668606883517,1.05578199,True,False,"['Hg2+', 'K+', 'F-', 'Ni2+']",Perovskita Dupla
mp-1112109,Cs2TlBiCl6,2.2018,True,0.007730570833336,-1.8018478402643687,Cubic,Fm-3m,225,perovskita dupla,GGA,3.812963474658061,0.7624608900000001,True,False,"['Cs+', 'Cl-', 'Bi3+', 'Tl+']",Perovskita Dupla
mp-989563,Rb2NaTlCl6,1.8121,True,0.008229163000001,-1.799518091971264,Cubic,Fm-3m,225,perovskita dupla,GGA,3.259584786347759,-0.7561847700000001,True,False,"['Na+', 'Rb+', 'Tl3+', 'Cl-']",Perovskita Dupla
mp-1114025,Rb2NaAsBr6,2.5701,False,0.008976010499999,-1.513598301387931,Cubic,Fm-3m,225,perovskita dupla,GGA,3.555778220931196,-0.6724928,True,False,"['Br-', 'Na+', 'Rb+', 'As3+']",Perovskita Dupla
mp-1113764,KRb2IrF6,2.5351,True,0.009033736249999,-2.536821479225,Cubic,Fm-3m,225,perovskita dupla,GGA,4.51426033058561,0.80278585,True,False,"['K+', 'Rb+', 'Ir3+', 'F-']",Perovskita Dupla
